data,stat,n,p,min.node.size,sample.fraction,mtry,alpha,imbalance.penalty,tuned,method,value
xlearners1,mse,2000,10,0.5,5,10,0.05,0,0,notune,7.87181176137961
athey2015machine1,mse,2000,10,0.5,0.307063824962825,0.789890996878967,0.590677432250232,0.371801530243829,1,kriging,0.000112996425130199
athey2015machine1,mse,2000,10,0.5,0.11564353457652,0.560340675525367,0.193587154848501,0.640696575166658,1,earth,0.541074302421329
athey2015machine1,mse,2000,10,0.5,5,10,0.05,0,0,notune,3.78756466166728
athey2015machine1,mse,500,10,0.5,0.31786080240272,0.787582535063848,0.361827592132613,0.863044837024063,1,kriging,0.157498747683554
athey2015machine1,mse,500,10,0.5,0.406990901334211,0.962468935642391,0.103987717069685,0.82320654252544,1,earth,0.214825088970978
athey2015machine1,mse,500,10,0.5,5,10,0.05,0,0,notune,2.69853245614945
athey2017estimation1,mse,500,10,0.5,0.447919809957966,0.929794152965769,0.492640035692602,0.591426990460604,1,kriging,0.836924574019498
athey2017estimation1,mse,500,10,0.5,0.572983008110896,0.979310347698629,0.547041882760823,0.563230531755835,1,earth,0.93075172008498
athey2017estimation1,mse,500,10,0.5,5,10,0.05,0,0,notune,0.186537935375948
xlearners6,mse,500,20,0.5,0.480557395843789,0.24910858203657,0.230041821487248,0.993612234247848,1,kriging,3.95987114100308e-05
xlearners6,mse,500,20,0.5,0.926695224596187,0.940157147822902,0.716329474933445,0.998934853123501,1,earth,6.68817530487425e-06
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,9.14580610951254e-06
athey2017estimation2,mse,2000,10,0.5,0.455360228661448,0.750453914748505,0.315845327451825,0.564266283763573,1,kriging,0.876967786093874
athey2017estimation2,mse,2000,10,0.5,0.576508003054187,0.965002314653248,0.621184855699539,0.0449349638074636,1,earth,1.78222053370884
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0458717722681358
athey2017estimation2,mse,2000,10,0.5,0.376551598543301,0.743916931794956,0.659337169490755,0.788651396054775,1,kriging,1.72563956186226
athey2017estimation2,mse,2000,10,0.5,0.33498993748799,0.652771353954449,0.402033824473619,0.686749147251248,1,earth,0.933990729290393
athey2017estimation2,mse,2000,10,0.5,5,10,0.05,0,0,notune,0.0495898332562918
xlearners1,mse,500,10,0.5,0.0584707085508853,0.490684976801276,0.731074466602877,0.956316282739863,1,kriging,15.8597547034622
xlearners1,mse,500,10,0.5,0.00219566677697003,0.534971213899553,0.52419691788964,0.978539742995054,1,earth,15.900575172465
xlearners1,mse,500,10,0.5,5,10,0.05,0,0,notune,14.1045413172054
xlearners6,mse,500,20,0.5,0.066436902852729,0.0846233307383955,0.690086607355624,0.930840901564807,1,kriging,5.10402559956629e-06
xlearners6,mse,500,20,0.5,0.794819728704169,0.406987581634894,0.683412243612111,0.52968696015887,1,earth,1.85368278995227e-08
xlearners6,mse,500,20,0.5,5,20,0.05,0,0,notune,3.21227936076504e-06
